TIME,Price_producer,Price_consumer
2000-12-01,78.46,63.908
2001-01-01,78.68,64.604
2001-02-01,78.52,64.919
2001-03-01,78.7,65.488
2001-04-01,78.65,65.74
2001-05-01,78.58,65.677
2001-06-01,78.26,65.866
2001-07-01,78.21,65.992
2001-08-01,77.83,66.245
2001-09-01,77.62,66.182
2001-10-01,77.25,66.182
2001-11-01,76.94,65.804
2001-12-01,76.47,65.93
2002-01-01,76.65,66.308
2002-02-01,77.04,66.624
2002-03-01,77.44,67.003
2002-04-01,78.04,67.382
2002-05-01,78.37,67.634
2002-06-01,77.87,67.571
2002-07-01,77.65,67.382
2002-08-01,77.75,67.824
2002-09-01,77.91,68.204
2002-10-01,78.01,68.013
2002-11-01,78.17,68.077
2002-12-01,78.18,68.391
2003-01-01,78.77,68.835
2003-02-01,79.19,69.213
2003-03-01,79.96,70.034
2003-04-01,79.56,69.908
2003-05-01,79.12,69.782
2003-06-01,78.74,69.592
2003-07-01,78.88,69.53
2003-08-01,79.17,69.845
2003-09-01,79.5,70.477
2003-10-01,79.73,70.539
2003-11-01,80.1,70.413
2003-12-01,80.62,70.73
2004-01-01,81.72,71.172
2004-02-01,82.74,71.487
2004-03-01,83.54,72.181
2004-04-01,83.94,72.181
2004-05-01,84.14,72.119
2004-06-01,84.06,72.119
2004-07-01,84.4,72.561
2004-08-01,85.14,73.191
2004-09-01,85.49,73.191
2004-10-01,85.53,73.191
2004-11-01,85.59,72.75
2004-12-01,84.96,72.877
2005-01-01,85.78,73.594
2005-02-01,85.95,73.892
2005-03-01,86.03,74.338
2005-04-01,86.27,74.413
2005-05-01,85.71,74.338
2005-06-01,85.32,74.114
2005-07-01,85.84,74.413
2005-08-01,86.08,74.636
2005-09-01,86.46,75.008
2005-10-01,86.69,74.859
2005-11-01,86.44,74.561
2005-12-01,86.19,74.785
2006-01-01,86.49,75.231
2006-02-01,86.53,75.381
2006-03-01,86.42,75.827
2006-04-01,86.58,75.902
2006-05-01,86.88,76.05
2006-06-01,86.72,75.902
2006-07-01,86.99,76.199
2006-08-01,87.55,76.645
2006-09-01,87.84,76.868
2006-10-01,87.03,76.496
2006-11-01,86.61,76.125
2006-12-01,86.53,76.348
2007-01-01,86.54,76.496
2007-02-01,86.59,77.017
2007-03-01,86.96,77.464
2007-04-01,87.57,77.761
2007-05-01,88.06,77.836
2007-06-01,88.24,77.836
2007-07-01,88.35,78.134
2007-08-01,88.3,78.208
2007-09-01,88.72,78.655
2007-10-01,88.9,78.803
2007-11-01,89.27,78.803
2007-12-01,89.63,79.101
2008-01-01,90.13,79.472
2008-02-01,90.97,79.771
2008-03-01,92.15,80.515
2008-04-01,94.11,80.962
2008-05-01,96.0,81.63
2008-06-01,97.54,82.151
2008-07-01,99.44,82.747
2008-08-01,99.16,82.598
2008-09-01,98.75,82.673
2008-10-01,98.49,82.598
2008-11-01,96.2,82.375
2008-12-01,94.58,82.375
2009-01-01,94.31,82.45
2009-02-01,94.95,83.045
2009-03-01,95.4,83.64
2009-04-01,95.51,83.862
2009-05-01,94.78,83.862
2009-06-01,94.53,83.788
2009-07-01,95.61,84.086
2009-08-01,96.16,84.384
2009-09-01,96.25,84.459
2009-10-01,95.48,84.235
2009-11-01,95.81,84.384
2009-12-01,96.29,84.682
2010-01-01,96.71,85.351
2010-02-01,96.88,85.523
2010-03-01,97.33,85.696
2010-04-01,98.04,86.041
2010-05-01,98.87,86.128
2010-06-01,98.98,86.041
2010-07-01,99.23,86.214
2010-08-01,99.53,86.647
2010-09-01,100.1,87.337
2010-10-01,100.47,87.337
2010-11-01,100.82,86.906
2010-12-01,101.75,87.251
2011-01-01,103.32,88.288
2011-02-01,104.09,88.892
2011-03-01,105.34,89.238
2011-04-01,105.99,89.325
2011-05-01,106.31,89.497
2011-06-01,106.07,89.67
2011-07-01,106.21,90.102
2011-08-01,106.35,90.707
2011-09-01,106.43,90.62
2011-10-01,106.33,90.448
2011-11-01,105.99,90.534
2011-12-01,106.09,90.879
2012-01-01,106.64,91.242
2012-02-01,107.37,91.588
2012-03-01,107.9,91.614
2012-04-01,107.95,91.605
2012-05-01,107.35,91.769
2012-06-01,106.05,91.639
2012-07-01,105.58,91.432
2012-08-01,106.23,91.855
2012-09-01,106.61,92.512
2012-10-01,105.78,92.339
2012-11-01,105.05,92.011
2012-12-01,104.79,92.175
2013-01-01,104.96,92.728
2013-02-01,105.68,93.038
2013-03-01,105.26,92.952
2013-04-01,104.93,92.823
2013-05-01,104.57,92.823
2013-06-01,104.55,92.71
2013-07-01,104.53,92.909
2013-08-01,104.82,93.238
2013-09-01,104.71,93.419
2013-10-01,104.34,93.134
2013-11-01,104.13,93.116
2013-12-01,104.37,93.229
2014-01-01,104.65,93.73
2014-02-01,104.78,93.98
2014-03-01,104.74,94.153
2014-04-01,104.58,94.214
2014-05-01,104.56,94.369
2014-06-01,104.61,94.248
2014-07-01,104.69,94.386
2014-08-01,104.58,94.551
2014-09-01,104.2,94.49
2014-10-01,103.47,94.205
2014-11-01,103.15,94.015
2014-12-01,102.14,94.006
2015-01-01,100.89,94.643
2015-02-01,100.96,94.587
2015-03-01,100.84,94.596
2015-04-01,100.8,94.625
2015-05-01,100.87,94.89
2015-06-01,100.82,94.909
2015-07-01,100.45,95.08
2015-08-01,99.83,95.213
2015-09-01,99.39,94.966
2015-10-01,98.71,94.966
2015-11-01,98.32,94.786
2015-12-01,98.09,95.07
2016-01-01,97.56,95.232
2016-02-01,97.56,95.64
2016-03-01,97.5,95.393
2016-04-01,97.74,95.573
2016-05-01,97.86,95.63
2016-06-01,98.09,95.611
2016-07-01,97.98,95.431
2016-08-01,98.07,95.677
2016-09-01,98.3,96.247
2016-10-01,98.59,96.379
2016-11-01,99.03,96.237
2016-12-01,99.9,96.342
2017-01-01,101.35,97.366
2017-02-01,101.74,97.632
2017-03-01,101.7,97.565
2017-04-01,101.48,97.442
2017-05-01,101.21,97.546
2017-06-01,100.81,97.338
2017-07-01,100.89,97.499
2017-08-01,101.35,98.058
2017-09-01,102.03,98.172
2017-10-01,102.14,98.077
2017-11-01,102.04,97.347
2017-12-01,102.09,97.698
2018-01-01,102.52,98.106
2018-02-01,102.95,98.855
2018-03-01,102.91,98.751
2018-04-01,103.04,98.931
2018-05-01,103.34,98.979
2018-06-01,103.37,98.779
2018-07-01,103.85,98.59
2018-08-01,104.32,99.462
2018-09-01,104.62,100.221
2018-10-01,104.26,100.041
2018-11-01,103.53,99.33
2018-12-01,103.03,98.988
2019-01-01,102.92,98.884
2019-02-01,103.02,99.311
2019-03-01,103.38,99.121
2019-04-01,103.68,99.481
2019-05-01,103.79,99.652
2019-06-01,103.5,99.491
2019-07-01,103.5,99.187
2019-08-01,103.74,99.425
2019-09-01,103.8,99.794
2019-10-01,103.56,100.041
2019-11-01,103.41,99.481
2019-12-01,103.7,99.719
2020-01-01,104.08,100.09
2020-02-01,103.74,100.16
2020-03-01,102.82,99.94
2020-04-01,101.93,99.5
2020-05-01,101.96,99.44
2020-06-01,102.48,99.71
2020-07-01,102.71,99.63
2020-08-01,103.22,100.19
2020-09-01,103.42,100.74
2020-10-01,103.01,100.18
2020-11-01,103.09,100.09
2020-12-01,103.9,100.33
2021-01-01,105.05,101.04
2021-02-01,105.91,101.58
2021-03-01,107.04,101.84
2021-04-01,108.06,101.98
2021-05-01,108.65,102.05
2021-06-01,109.22,102.05
2021-07-01,110.28,102.26
2021-08-01,110.86,102.75
2021-09-01,111.27,103.17
2021-10-01,112.43,103.35
2021-11-01,113.23,103.87
2021-12-01,113.21,104.04
2022-01-01,114.4,104.69
2022-02-01,114.95,105.3
2022-03-01,116.7,106.06
2022-04-01,118.59,106.85
2022-05-01,119.43,107.56
2022-06-01,120.1,108.22
2022-07-01,120.47,108.74
